food_id,alias,source_url,reason,date
FC000106,Tamban,https://i.fnri.dost.gov.ph/fct/library/report/4083,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000106,"Sardine, Indian oil",https://i.fnri.dost.gov.ph/fct/library/report/4083,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000119,Kangkong dahon,https://i.fnri.dost.gov.ph/fct/library/report/3521,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000119,Water spinach lvs,https://i.fnri.dost.gov.ph/fct/library/report/3521,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000147,Canton,https://i.fnri.dost.gov.ph/fct/library/report/3102,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000149,Misua,https://i.fnri.dost.gov.ph/fct/library/report/3107,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000149,"Miswa, nilaga",https://i.fnri.dost.gov.ph/fct/library/report/3107,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000162,Biko,https://i.fnri.dost.gov.ph/fct/library/report/3130,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000162,Sinukmani,https://i.fnri.dost.gov.ph/fct/library/report/3130,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000166,Cuchinta,https://i.fnri.dost.gov.ph/fct/library/report/3141,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000166,Kutsinta,https://i.fnri.dost.gov.ph/fct/library/report/3141,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000171,Balat ng lumpia,https://i.fnri.dost.gov.ph/fct/library/report/3162,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000171,Lumpia wrapper,https://i.fnri.dost.gov.ph/fct/library/report/3162,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000198,Kamoteng kahoy,https://i.fnri.dost.gov.ph/fct/library/report/3169,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000198,"Balinghoy, nilaga",https://i.fnri.dost.gov.ph/fct/library/report/3169,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000202,Ubi,https://i.fnri.dost.gov.ph/fct/library/report/3188,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000202,"Ube, nilaga",https://i.fnri.dost.gov.ph/fct/library/report/3188,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000204,"Sago, nilaga",https://i.fnri.dost.gov.ph/fct/library/report/3203,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000204,"Tapioca pearl, boiled",https://i.fnri.dost.gov.ph/fct/library/report/3203,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000206,Kamoteng kahoy,https://i.fnri.dost.gov.ph/fct/library/report/3170,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000206,"Balinghoy, dilaw",https://i.fnri.dost.gov.ph/fct/library/report/3170,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000218,Sago,https://i.fnri.dost.gov.ph/fct/library/report/3202,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000218,Tapioca pearl,https://i.fnri.dost.gov.ph/fct/library/report/3202,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
FC000224,Garbansos,https://i.fnri.dost.gov.ph/fct/library/report/3215,Separate slash-delimited official common names; retain comma-qualified preparation and plant part.,2026-09-16
